Rank,Length,Released,BPM,Key,Genre,Label,Date,Track_ID
1,7:44,2020-04-17,122,A min,Melodic House & Techno,RCA Records Label,2020-05-07,
2,7:17,2020-03-13,124,C♯ maj,House,Different,2020-05-07,
3,5:26,2020-02-21,124,D min,House,HouseU,2020-05-07,
4,5:15,2020-04-03,124,A maj,Deep House,SPINNIN' DEEP,2020-05-07,
5,5:53,2020-03-27,125,A min,Tech House,Lovejuice Records,2020-05-07,
6,6:22,2020-04-17,125,C min,Tech House,Armada Subjekt,2020-05-07,
7,6:51,2020-04-03,126,A♯ min,Tech House,Glasgow Underground,2020-05-07,
8,5:38,2020-03-31,125,A maj,Tech House,Catch & Release/Astralwerks,2020-05-07,
9,5:37,2020-03-26,126,D♯ maj,Tech House,Moon Harbour Recordings,2020-05-07,
10,7:41,2020-04-03,125,D min,Melodic House & Techno,Knee Deep In Sound,2020-05-07,
11,7:03,2020-05-01,123,A♯ maj,House,Defected,2020-05-07,
12,8:05,2020-04-24,133,B min,Techno (Peak Time / Driving / Hard),Armada Music,2020-05-07,
13,7:08,2020-03-13,130,E min,Techno (Peak Time / Driving / Hard),Perfekt Groove Recordings,2020-05-07,
14,5:52,2020-04-03,128,G♯ maj,Tech House,Columbia (Sony),2020-05-07,
15,5:59,2020-04-10,126,G min,Tech House,All We Have Is Now,2020-05-07,
16,6:43,2020-04-17,125,C min,Tech House,SOLOTOKO,2020-05-07,
17,5:10,2020-04-03,124,D♯ min,House,HouseU,2020-05-07,
18,6:15,2020-04-24,124,B min,Tech House,Toolroom,2020-05-07,
19,7:25,2020-03-20,126,A♯ maj,House,Defected,2020-05-07,
20,6:07,2020-03-13,128,C♯ min,Techno (Peak Time / Driving / Hard),1605,2020-05-07,
21,7:14,2019-12-06,124,A min,Melodic House & Techno,fryhide,2020-05-07,
22,4:55,2020-04-17,87,E min,Drum & Bass,The North Quarter,2020-05-07,
23,7:25,2020-04-27,130,A min,Techno (Peak Time / Driving / Hard),Terminal M,2020-05-07,
24,6:00,2020-03-20,125,F maj,House,Cube Recordings,2020-05-07,
25,5:38,2020-03-02,125,A min,Funky / Groove / Jackin' House,Cube Recordings,2020-05-07,
26,8:03,2020-01-17,123,A♯ maj,Melodic House & Techno,Kontor Records,2020-05-07,
27,6:28,2020-04-17,125,C♯ maj,Tech House,Toolroom,2020-05-07,
28,7:22,2020-05-01,123,G min,Nu Disco / Disco,Higher Ground (Mad Decent),2020-05-07,
29,4:34,2020-04-17,88,A min,Drum & Bass,V Recordings,2020-05-07,
30,5:53,2020-05-01,127,A♯ maj,Tech House,Trick,2020-05-07,
31,5:49,2020-04-24,127,A min,Tech House,Sola,2020-05-07,
32,6:34,2020-04-10,127,A min,Deep House,Resonance Records,2020-05-07,
33,6:31,2020-03-27,124,A♯ min,House,Toolroom,2020-05-07,
34,7:37,2020-04-03,124,E min,House,Glasgow Underground,2020-05-07,
35,7:18,2020-05-01,128,A♯ maj,House,Defected,2020-05-07,
36,7:06,2020-03-27,123,D maj,Melodic House & Techno,Timeless Moment,2020-05-07,
37,5:25,2020-02-28,124,A maj,House,There Was Jack,2020-05-07,
38,5:40,2020-04-03,126,G min,Melodic House & Techno,Afterlife Records,2020-05-07,
39,5:24,2020-04-10,128,A♯ min,Tech House,Etiquette,2020-05-07,
40,6:57,2020-02-07,130,E maj,Techno (Peak Time / Driving / Hard),Heldeep Records,2020-05-07,
41,4:59,2020-03-02,125,D min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-07,
42,7:43,2020-03-13,123,E maj,Melodic House & Techno,Embassy One,2020-05-07,
43,4:56,2019-11-22,125,A min,Tech House,Club Sweat,2020-05-07,
44,5:24,2020-04-27,142,E maj,Trance,Damaged Records,2020-05-07,
45,4:53,2020-01-03,126,C min,Funky / Groove / Jackin' House,Omerta,2020-05-07,
46,7:11,2020-02-07,130,C♯ min,House,FFRR,2020-05-07,
47,4:53,2020-04-20,88,C maj,Drum & Bass,Jungle Cakes,2020-05-07,
48,4:19,2020-02-28,125,D♯ min,House,Ministry of Sound Recordings,2020-05-07,
49,7:20,2020-04-17,121,B min,Progressive House,Multinotes,2020-05-07,
50,7:15,2020-04-27,128,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-07,
51,6:13,2019-10-18,125,E min,Tech House,Ultra,2020-05-07,
52,4:36,2020-02-21,120,A maj,Nu Disco / Disco,Prison Entertainment,2020-05-07,
53,7:12,2020-02-17,130,A min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-07,
54,5:01,2020-02-07,128,A min,House,Altra Moda,2020-05-07,
55,8:00,2019-05-17,124,D min,Melodic House & Techno,Embassy One,2020-05-07,
56,5:14,2020-02-28,122,F♯ min,Nu Disco / Disco,Music To Dance To Records,2020-05-07,
57,5:12,2020-04-14,175,F min,Drum & Bass,Hospital Records,2020-05-07,
58,6:46,2019-10-10,124,G♯ min,Progressive House,Loaded Records,2020-05-07,
59,6:12,2020-02-07,120,E min,Nu Disco / Disco,Club Sweat,2020-05-07,
60,5:52,2020-03-25,129,G♯ min,Electronica / Downtempo,Ninja Tune,2020-05-07,
61,5:33,2020-04-03,126,C min,Melodic House & Techno,Afterlife Records,2020-05-07,
62,3:09,2019-12-13,123,G min,Bass House,Higher Ground (Mad Decent),2020-05-07,
63,4:35,2020-04-24,126,F♯ min,Tech House,Techne,2020-05-07,
64,7:17,2019-12-20,123,A min,Deep House,Stride,2020-05-07,
65,6:41,2020-03-23,132,F maj,Techno (Raw / Deep / Hypnotic),Figure,2020-05-07,
66,5:39,2020-04-27,123,G maj,House,Idol Records,2020-05-07,
67,6:40,2020-04-24,138,F maj,Trance,FSOE,2020-05-07,
68,6:47,2020-03-13,123,A min,Afro House,Stil Vor Talent,2020-05-07,
69,8:59,2020-02-24,122,D min,Progressive House,Lost & Found,2020-05-07,
70,6:44,2020-03-02,125,C maj,Progressive House,Siona Records,2020-05-07,
71,7:52,2020-04-27,128,D♯ maj,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-07,
72,4:31,2020-04-24,87,F min,Drum & Bass,Musical Freedom,2020-05-07,
73,4:09,2020-05-01,128,G♯ maj,Electro House,STMPD RCRDS,2020-05-07,
74,5:53,2020-04-10,127,A min,Minimal / Deep Tech,Solid Grooves Raw,2020-05-07,
75,5:35,2020-04-24,122,G min,Deep House,I/AM/ME (BMG),2020-05-07,
76,4:11,2019-12-13,125,A♯ min,Funky / Groove / Jackin' House,Next-Gen-Records,2020-05-07,
77,5:44,2020-04-10,123,A min,Dance,Higher Ground (Mad Decent),2020-05-07,
78,5:35,2020-03-30,123,A min,Funky / Groove / Jackin' House,PornoStar Records,2020-05-07,
79,7:05,2020-02-21,132,F♯ min,Techno (Peak Time / Driving / Hard),AnalyticTrail,2020-05-07,
80,6:45,2020-03-06,128,F min,Melodic House & Techno,Armada Electronic Elements,2020-05-07,
81,6:52,2020-04-03,126,G min,Tech House,Toolroom,2020-05-07,
82,8:15,2020-02-07,124,A♯ min,Deep House,Innervisions,2020-05-07,
83,5:57,2019-07-05,124,A maj,House,Defected,2020-05-07,
84,6:23,2020-04-24,127,A min,Minimal / Deep Tech,Solid Grooves Records,2020-05-07,
85,3:43,2020-04-10,87,F maj,Drum & Bass,Dimension,2020-05-07,
86,5:38,2020-04-10,122,D♯ min,House,Cr2 Records,2020-05-07,
87,6:40,2018-07-13,125,G maj,Tech House,Catch & Release,2020-05-07,
88,6:52,2020-04-10,120,A min,Deep House,TRYBESof,2020-05-07,
89,4:12,2020-04-03,88,E maj,Drum & Bass,UNLEASHED,2020-05-07,
90,7:49,2020-01-31,131,C♯ min,Techno (Peak Time / Driving / Hard),Filth on Acid,2020-05-07,
91,4:13,2020-04-03,125,F♯ min,Bass House,Confession,2020-05-07,
92,4:15,2020-03-27,123,A maj,Funky / Groove / Jackin' House,Tactical Records,2020-05-07,
93,4:39,2019-10-18,123,C min,Nu Disco / Disco,Prison Entertainment,2020-05-07,
94,7:18,2020-03-20,123,A min,Deep House,Z Records,2020-05-07,
95,7:28,2020-04-27,130,A♯ min,Techno (Peak Time / Driving / Hard),Drumcode,2020-05-07,
96,7:46,2020-04-24,128,C♯ maj,Melodic House & Techno,Ellum,2020-05-07,
97,6:50,2020-04-17,132,F maj,Techno (Peak Time / Driving / Hard),Second State,2020-05-07,
98,7:58,2020-02-28,124,F♯ min,Melodic House & Techno,Rose Avenue Records,2020-05-07,
99,6:00,2020-04-24,128,D min,Tech House,CLNE,2020-05-07,
100,6:21,2019-12-26,131,F maj,Techno (Peak Time / Driving / Hard),1605,2020-05-07,
1,7:44,2020-04-17,122,A min,Melodic House & Techno,RCA Records Label,2020-05-09,
2,7:03,2020-05-01,123,A♯ maj,House,Defected,2020-05-09,
3,5:26,2020-02-21,124,D min,House,HouseU,2020-05-09,
4,7:17,2020-03-13,124,C♯ maj,House,Different,2020-05-09,
5,5:53,2020-03-27,125,A min,Tech House,Lovejuice Records,2020-05-09,
6,5:15,2020-04-03,124,A maj,Deep House,SPINNIN' DEEP,2020-05-09,
7,6:51,2020-04-03,126,A♯ min,Tech House,Glasgow Underground,2020-05-09,
8,6:22,2020-04-17,125,C min,Tech House,Armada Subjekt,2020-05-09,
9,7:22,2020-05-01,123,G min,Nu Disco / Disco,Higher Ground (Mad Decent),2020-05-09,
10,5:38,2020-03-31,125,A maj,Tech House,Catch & Release/Astralwerks,2020-05-09,
11,5:37,2020-03-26,126,D♯ maj,Tech House,Moon Harbour Recordings,2020-05-09,
